"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.util.HashMap.newNode (int, Object, Object, java.util.HashMap.Node)","2.64 ms (0.1%)","2.63 ms (0.2%)","2.64 ms (0%)","2.63 ms (0%)","5,949"
"java.lang.Character.getType (int)","2.73 ms (0.1%)","2.61 ms (0.2%)","6.93 ms (0%)","5.58 ms (0.1%)","6,738"
"java.lang.StringBuilder.append (char)","2.68 ms (0.1%)","2.58 ms (0.2%)","39.7 ms (0.2%)","12.1 ms (0.2%)","2,592"
"java.lang.StringLatin1.equals (byte[], byte[])","2.67 ms (0.1%)","2.57 ms (0.2%)","2.67 ms (0%)","2.57 ms (0%)","12,487"
"java.lang.AbstractStringBuilder.append (String)","2.67 ms (0.1%)","2.56 ms (0.2%)","12.1 ms (0.1%)","11.4 ms (0.2%)","2,088"
"java.lang.StringLatin1.indexOf (byte[], int, int)","2.71 ms (0.1%)","2.54 ms (0.2%)","5.6 ms (0%)","4.55 ms (0.1%)","6,537"
"java.lang.CharacterData.of (int)","2.63 ms (0.1%)","2.50 ms (0.2%)","2.63 ms (0%)","2.50 ms (0%)","12,553"
"java.lang.String.checkBoundsBeginEnd (int, int, int)","24.8 ms (0.6%)","2.43 ms (0.2%)","26.1 ms (0.2%)","3.54 ms (0.1%)","8,155"
"java.util.HashMap.get (Object)","2.32 ms (0.1%)","2.31 ms (0.2%)","9.99 ms (0.1%)","9.66 ms (0.1%)","4,314"
"java.lang.String.getBytes (byte[], int, byte)","2.26 ms (0.1%)","2.28 ms (0.2%)","3.23 ms (0%)","3.14 ms (0%)","4,871"
"java.util.HashSet.add (Object)","2.42 ms (0.1%)","2.26 ms (0.2%)","11.0 ms (0.1%)","10.8 ms (0.2%)","2,437"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","2.26 ms (0.1%)","2.24 ms (0.2%)","3.62 ms (0%)","3.59 ms (0.1%)","4,843"
"java.lang.String.equalsIgnoreCase (String)","2.22 ms (0.1%)","2.21 ms (0.2%)","35.7 ms (0.2%)","10.4 ms (0.1%)","4,782"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","2.33 ms (0.1%)","2.21 ms (0.2%)","10.4 ms (0.1%)","9.74 ms (0.1%)","1,257"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","25.5 ms (0.7%)","2.21 ms (0.2%)","28.8 ms (0.2%)","5.17 ms (0.1%)","6,794"
"java.net.URL.isValidProtocol (String)","2.40 ms (0.1%)","2.14 ms (0.2%)","44.0 ms (0.3%)","16.7 ms (0.2%)","1,123"
"java.lang.CharacterDataLatin1.toUpperCase (int)","2.30 ms (0.1%)","2.8 ms (0.2%)","3.45 ms (0%)","3.16 ms (0%)","8,838"
"java.lang.CharacterDataLatin1.toLowerCase (int)","24.4 ms (0.6%)","2.7 ms (0.2%)","25.5 ms (0.2%)","3.14 ms (0%)","7,505"
"java.lang.StringBuilder.toString ()","2.29 ms (0.1%)","2.5 ms (0.2%)","3.75 ms (0%)","3.40 ms (0%)","1,229"
"java.lang.StringLatin1.newString (byte[], int, int)","26.1 ms (0.7%)","2.4 ms (0.2%)","27.4 ms (0.2%)","3.19 ms (0%)","5,866"
"java.lang.String.compareTo (String)","2.8 ms (0.1%)","2.0 ms (0.2%)","7.42 ms (0%)","6.75 ms (0.1%)","1,065"
"java.time.temporal.ChronoField.checkValidValue (long)","1.95 ms (0.1%)","1.98 ms (0.2%)","4.86 ms (0%)","4.80 ms (0.1%)","1,465"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.release (int)","1.98 ms (0.1%)","1.93 ms (0.1%)","3.82 ms (0%)","3.20 ms (0%)","1,373"
"java.time.Clock.currentInstant ()","1.82 ms (0%)","1.84 ms (0.1%)","8.39 ms (0.1%)","7.94 ms (0.1%)","1,108"
"java.time.temporal.ValueRange.checkValidValue (long, java.time.temporal.TemporalField)","1.91 ms (0%)","1.83 ms (0.1%)","2.87 ms (0%)","2.80 ms (0%)","1,465"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","1.91 ms (0%)","1.80 ms (0.1%)","5.84 ms (0%)","5.41 ms (0.1%)","2,088"
"java.util.HashMap$HashIterator.nextNode ()","1.82 ms (0%)","1.79 ms (0.1%)","1.82 ms (0%)","1.79 ms (0%)","6,524"
"java.lang.String.startsWith (String)","1.70 ms (0%)","1.73 ms (0.1%)","12.7 ms (0.1%)","12.1 ms (0.2%)","6,501"
"java.lang.AbstractStringBuilder.isLatin1 ()","1.75 ms (0%)","1.73 ms (0.1%)","1.75 ms (0%)","1.73 ms (0%)","4,004"
"java.lang.StringLatin1.toLowerCase (String, byte[], java.util.Locale)","1.78 ms (0%)","1.72 ms (0.1%)","27.2 ms (0.2%)","4.78 ms (0.1%)","2,450"
"java.net.URL.isBuiltinStreamHandler (java.net.URLStreamHandler)","1.69 ms (0%)","1.71 ms (0.1%)","13.2 ms (0.1%)","10.3 ms (0.1%)","2,200"
"java.util.ArrayList.addAll (java.util.Collection)","1.84 ms (0%)","1.67 ms (0.1%)","6.20 ms (0%)","5.99 ms (0.1%)","933"
"java.lang.System.getSecurityManager ()","1.60 ms (0%)","1.64 ms (0.1%)","2.41 ms (0%)","2.36 ms (0%)","6,259"
"java.lang.StringLatin1.compareTo (byte[], byte[], int, int)","1.88 ms (0%)","1.63 ms (0.1%)","3.17 ms (0%)","2.88 ms (0%)","998"
"java.net.URLStreamHandler.parseURL (java.net.URL, String, int, int)","1.82 ms (0%)","1.62 ms (0.1%)","40.3 ms (0.3%)","16.1 ms (0.2%)","1,123"
