"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.time.zone.ZoneOffsetTransitionRule$TimeDefinition.createDateTime (java.time.LocalDateTime, java.time.ZoneOffset, java.time.ZoneOffset)","0.013 ms (0%)","0.013 ms (0%)","0.013 ms (0%)","0.013 ms (0%)","2"
"java.util.WeakHashMap.indexFor (int, int)","0.006 ms (0%)","0.013 ms (0%)","0.006 ms (0%)","0.013 ms (0%)","141"
"java.util.Map.computeIfAbsent (Object, java.util.function.Function)","0.010 ms (0%)","0.013 ms (0%)","0.016 ms (0%)","0.017 ms (0%)","2"
"java.util.RegularEnumSet.size ()","0.014 ms (0%)","0.013 ms (0%)","0.019 ms (0%)","0.016 ms (0%)","4"
"java.util.concurrent.ConcurrentHashMap$EntrySetView.iterator ()","0.011 ms (0%)","0.012 ms (0%)","0.014 ms (0%)","0.014 ms (0%)","1"
"java.util.TreeMap.colorOf (java.util.TreeMap.Entry)","0.011 ms (0%)","0.012 ms (0%)","0.011 ms (0%)","0.012 ms (0%)","8"
"jdk.internal.loader.URLClassPath$Loader$1.getCodeSourceURL ()","0.014 ms (0%)","0.012 ms (0%)","0.014 ms (0%)","0.012 ms (0%)","45"
"java.lang.ClassLoader.compareCerts (java.security.cert.Certificate[], java.security.cert.Certificate[])","0.006 ms (0%)","0.012 ms (0%)","0.006 ms (0%)","0.012 ms (0%)","44"
"java.util.EnumMap.isValidKey (Object)","0.012 ms (0%)","0.012 ms (0%)","0.012 ms (0%)","0.012 ms (0%)","6"
"org.springframework.samples.petclinic.system.CrashController.triggerException ()","0.011 ms (0%)","0.011 ms (0%)","0.023 ms (0%)","0.023 ms (0%)","1"
"java.util.ImmutableCollections$SetN$SetNIterator.next ()","0.009 ms (0%)","0.011 ms (0%)","0.009 ms (0%)","0.011 ms (0%)","30"
"java.util.AbstractList$Itr.hasNext ()","0.007 ms (0%)","0.011 ms (0%)","0.010 ms (0%)","0.013 ms (0%)","18"
"java.lang.StringBuilder.append (Object)","0.011 ms (0%)","0.011 ms (0%)","0.093 ms (0%)","0.095 ms (0%)","4"
"java.lang.Thread.getAndClearInterrupt ()","0.009 ms (0%)","0.011 ms (0%)","0.009 ms (0%)","0.011 ms (0%)","45"
"java.util.ArrayDeque.sub (int, int, int)","0.007 ms (0%)","0.011 ms (0%)","0.007 ms (0%)","0.011 ms (0%)","45"
"jdk.internal.misc.Unsafe.putReferenceRelease (Object, long, Object)","0.010 ms (0%)","0.011 ms (0%)","0.010 ms (0%)","0.011 ms (0%)","18"
"java.util.Properties.getProperty (String)","0.010 ms (0%)","0.011 ms (0%)","0.043 ms (0%)","0.041 ms (0%)","12"
"java.util.concurrent.ConcurrentHashMap.sumCount ()","0.006 ms (0%)","0.010 ms (0%)","0.006 ms (0%)","0.010 ms (0%)","9"
"java.time.DayOfWeek.getValue ()","0.008 ms (0%)","0.009 ms (0%)","0.008 ms (0%)","0.009 ms (0%)","4"
"java.lang.ref.ReferenceQueue.poll0 ()","0.009 ms (0%)","0.009 ms (0%)","0.009 ms (0%)","0.009 ms (0%)","18"
"java.util.concurrent.locks.AbstractQueuedSynchronizer.acquire (int)","0.010 ms (0%)","0.009 ms (0%)","0.014 ms (0%)","0.013 ms (0%)","1"
"jdk.internal.perf.PerfCounter.getParentDelegationTime ()","0.006 ms (0%)","0.009 ms (0%)","0.006 ms (0%)","0.009 ms (0%)","45"
"org.springframework.samples.petclinic.vet.Vet.getSpecialtiesInternal ()","0.007 ms (0%)","0.008 ms (0%)","0.007 ms (0%)","0.008 ms (0%)","20"
"java.util.Locale.getLanguage ()","0.011 ms (0%)","0.008 ms (0%)","0.011 ms (0%)","0.008 ms (0%)","64"
"jdk.internal.perf.PerfCounter.getFindClasses ()","0.003 ms (0%)","0.008 ms (0%)","0.003 ms (0%)","0.008 ms (0%)","45"
"java.util.LinkedHashMap$LinkedValues.size ()","0.006 ms (0%)","0.008 ms (0%)","0.006 ms (0%)","0.008 ms (0%)","16"
"java.util.Objects.checkFromToIndex (int, int, int)","0.007 ms (0%)","0.008 ms (0%)","0.009 ms (0%)","0.008 ms (0%)","4"
"java.lang.CharacterDataLatin1.digit (int, int)","0.007 ms (0%)","0.008 ms (0%)","0.007 ms (0%)","0.008 ms (0%)","8"
"java.util.Collections$EmptyList.isEmpty ()","0.010 ms (0%)","0.008 ms (0%)","0.010 ms (0%)","0.008 ms (0%)","44"
"java.util.HashMap.isEmpty ()","0.009 ms (0%)","0.008 ms (0%)","0.009 ms (0%)","0.008 ms (0%)","53"
"java.util.TreeMap$Values.size ()","0.006 ms (0%)","0.007 ms (0%)","0.006 ms (0%)","0.007 ms (0%)","7"
"java.lang.Module.getClassLoader ()","0.007 ms (0%)","0.007 ms (0%)","0.008 ms (0%)","0.009 ms (0%)","2"
"java.util.logging.LogManager.parseClassNames (String)","0.005 ms (0%)","0.007 ms (0%)","0.025 ms (0%)","0.025 ms (0%)","1"
"java.util.ImmutableCollections$SetN$SetNIterator.hasNext ()","0.006 ms (0%)","0.006 ms (0%)","0.006 ms (0%)","0.006 ms (0%)","44"
"java.time.Month.getValue ()","0.006 ms (0%)","0.006 ms (0%)","0.006 ms (0%)","0.006 ms (0%)","2"
"java.util.jar.Attributes.put (Object, Object)","0.007 ms (0%)","0.006 ms (0%)","0.027 ms (0%)","0.025 ms (0%)","12"
"java.util.TreeMap.rotateLeft (java.util.TreeMap.Entry)","0.007 ms (0%)","0.006 ms (0%)","0.007 ms (0%)","0.006 ms (0%)","4"
"jdk.internal.loader.Resource.getManifest ()","0.003 ms (0%)","0.006 ms (0%)","0.003 ms (0%)","0.006 ms (0%)","45"
"java.util.concurrent.CopyOnWriteArrayList.add (Object)","0.005 ms (0%)","0.005 ms (0%)","0.008 ms (0%)","0.008 ms (0%)","2"
"java.util.Collections$EmptyMap.get (Object)","0.002 ms (0%)","0.005 ms (0%)","0.002 ms (0%)","0.005 ms (0%)","23"
"java.util.ImmutableCollections$List12.size ()","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","18"
"java.util.EnumMap.unmaskNull (Object)","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","6"
"java.util.Collections$UnmodifiableCollection.isEmpty ()","0.009 ms (0%)","0.005 ms (0%)","0.012 ms (0%)","0.011 ms (0%)","12"
"java.util.AbstractList$Itr.checkForComodification ()","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","0.005 ms (0%)","6"
"jdk.internal.misc.VM.isModuleSystemInited ()","0.007 ms (0%)","0.004 ms (0%)","0.007 ms (0%)","0.004 ms (0%)","45"
"jdk.internal.loader.Resource.getCodeSigners ()","0.003 ms (0%)","0.004 ms (0%)","0.003 ms (0%)","0.004 ms (0%)","45"
"java.util.Arrays$ArrayList.toArray ()","0.006 ms (0%)","0.004 ms (0%)","0.010 ms (0%)","0.009 ms (0%)","7"
"java.util.HashMap$EntrySet.size ()","0.002 ms (0%)","0.004 ms (0%)","0.002 ms (0%)","0.004 ms (0%)","4"
"java.util.concurrent.locks.ReentrantLock$NonfairSync.tryAcquire (int)","0.003 ms (0%)","0.004 ms (0%)","0.004 ms (0%)","0.004 ms (0%)","1"
"java.util.HashMap.keysToArray (Object[])","0.006 ms (0%)","0.004 ms (0%)","0.006 ms (0%)","0.004 ms (0%)","10"
"java.util.TreeMap$ValueIterator.next ()","0.004 ms (0%)","0.003 ms (0%)","0.012 ms (0%)","0.010 ms (0%)","8"
"java.util.concurrent.ConcurrentHashMap$KeySetView.add (Object)","0.001 ms (0%)","0.003 ms (0%)","0.021 ms (0%)","0.021 ms (0%)","3"
"jdk.internal.perf.PerfCounter.getFindClassTime ()","0.003 ms (0%)","0.003 ms (0%)","0.003 ms (0%)","0.003 ms (0%)","45"
"java.lang.Long.bitCount (long)","0.002 ms (0%)","0.003 ms (0%)","0.002 ms (0%)","0.003 ms (0%)","3"
"java.util.concurrent.CopyOnWriteArraySet.iterator ()","0.004 ms (0%)","0.002 ms (0%)","0.007 ms (0%)","0.004 ms (0%)","10"
"java.util.Collections$SingletonSet.size ()","0.003 ms (0%)","0.002 ms (0%)","0.003 ms (0%)","0.002 ms (0%)","3"
"java.util.ImmutableCollections$ListN.size ()","0.002 ms (0%)","0.002 ms (0%)","0.002 ms (0%)","0.002 ms (0%)","6"
"org.springframework.samples.petclinic.vet.Vets.getVetList ()","0.003 ms (0%)","0.002 ms (0%)","0.003 ms (0%)","0.002 ms (0%)","2"
"jdk.internal.misc.VM.initLevel ()","0.0 ms (0%)","0.002 ms (0%)","0.0 ms (0%)","0.002 ms (0%)","6"
"java.util.Arrays$ArrayList.get (int)","0.002 ms (0%)","0.002 ms (0%)","0.002 ms (0%)","0.002 ms (0%)","6"
"java.util.ImmutableCollections$List12.isEmpty ()","0.001 ms (0%)","0.001 ms (0%)","0.001 ms (0%)","0.001 ms (0%)","2"
"java.lang.Math.floorMod (int, int)","0.001 ms (0%)","0.001 ms (0%)","0.001 ms (0%)","0.001 ms (0%)","15"
"java.util.Collections$EmptySet.isEmpty ()","0.003 ms (0%)","0.001 ms (0%)","0.003 ms (0%)","0.001 ms (0%)","8"
"java.util.TreeMap.rightOf (java.util.TreeMap.Entry)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","2"
"java.util.LinkedHashMap$LinkedKeySet.size ()","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","0.0 ms (0%)","1"
